,mcc,aucroc,precision,recall,f1
count,169.0,169.0,169.0,169.0,169.0
mean,-0.00600528947360844,0.49594046705161615,0.08927861103650117,0.15845117491447713,0.11163215868111971
std,0.18951484848807773,0.11941977883463922,0.1430704902131191,0.24836712507728642,0.17559237122699714
min,-0.40211808810463123,0.2459016393442623,0.0,0.0,0.0
25%,-0.10996977854102506,0.43014705882352944,0.0,0.0,0.0
50%,-0.06365572520203067,0.4603399433427762,0.0,0.0,0.0
75%,0.044111344008081435,0.5263157894736843,0.13333333333333333,0.25,0.17777777777777778
max,0.5911918570663406,0.8875570776255709,0.5357142857142857,0.8333333333333334,0.6122448979591837
stderr,0.014578065268313671,0.009186136833433787,0.011005422324086085,0.01910516346748357,0.01350710547899978
